Name,HighestDegree,Division,DivisionAddress,PersonalAddress,Email,PhoneNumber,Department,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
ChRiS kleIN!,BS,East Division,,"516 ThOmaS HILL APT. 918
sOUTH lInda, pw 88608",Chris_KLeIn@KLb.Com,751-614-5855,Engineering,,"WORks ON TechnICAl PrOjECTS, EnsuReS Compliance With SAFeTY sTAndARds, AnD pRovIdeS ENgINeeRING solUtIoNS As Engineer LevEL 1.@",97635.49,2-1992-21,106/13/5925
Adam DIxOn@,BS,East Division,,"58158 JENSEN COves
BRoWNsiDe, MH 27711!",aDAM_dIXoN@Klb.coM,(582)403-9663x45316,Operations,OPERatIOnS assOcIaTE leveL 10,"pErfoRmS prODuctiON aNd oPeraTiOnal TASKS WiThin THe easT DIVISiON, eNSURINg QUALItY AnD eFFIciENcy in pROcESsES.",,1973/8/26,637/15/2741&
SAmaNThA MuNOZ^,MS,North Division,"123 nORTh St, sPrINGFieLD, il 62701","612 sKInNeR gAteWAY suItE 801
haLlSidE, oK 87289",SAmantHA_mUnOZ@KLB.cOM,764.704.4265x14238,Engineering,ENGineEr lEVel 1,"worKS on TecHnICal prOJEcts, ensuREs cOmpliAnCE wITH SaFety StAnDArdS, AnD PrOVIdeS EngINeErinG solUtions as eNgIneER lEvel 1.",113235.9,03.1992.09,827-91-62825$
mATThEw CHArleS,MBA,South Division,"456 SOuTH ave, auStin, Tx 73301","7611 suttoN pINEs APt. 432
NOrTH doNAlD, cO 10203@",mATtHEW_ChArlES!Klb.coM,654-550-9737x499,Operations,OPerATionS mAnAger LEVel 2,"LeaDs TeAMS tO IMPROve pErFoRMaNCE, mANages OpErATioNal cOsTs, ANd IMPLEmeNtS PROCEsS OPTImIzatIOnS aS OpeRatiOnS mAnAGER LevEL 2.",114977.51,22-1972-5,493-26-72176
DomINiqUE pUgh&,MA,North Division,"123 North sT, spRIngfIEld, il 62701*","89836 lUcaS tUNnel apT. 761
sOutH dAnieLlE, ca 69744!",DOmIniQue_puGH@klB.COM,4559269658,Administrative,secREtAry Level 2,"PRoViDEs adMINIsTRatiVe supPORt wiTHIN tHe noRTh dIVision, assIsTing WiTH SchEdUlIng, DOCUMentatioN, aNd COMMuniCATIoN tAsks.",42724.33,1968.11.12,018/76/11076
joyce dAViS&,HS,East Division,"789 eAst bLVD, alBanY, Ny 12201","6425 GrEgoRY DrIve
RAMosbuRy, OK 03068",JoYCE_DaVis!kLB.CoM,+1-841-931-2246x17469,Operations,oPeraTIONs AssOcIAtE LEVel 1,"perFOrMs prOduCtioN aND OpEratIONAL TASkS wiThIn THE eAST diviSiOn, eNSuRing qUaLitY And eFFICIenCY IN ProcESseS.@",29827.99,,836-54-02485^
PAuL jImeNez%,BS,North Division,"123 NorTh St, spRINGfIeLD, il 62701","7587 LoRI cOurtS
pOrT juLIE, AK 74136",PaUL_jiMenEz#Klb.COM,303.241.1638x610,Operations,oPERATions aSSoCIaTE LeVEL 9,"perfoRmS producTION ANd OperAtIONaL TAsKs WIThin thE noRtH DIvISIon, ENSuRING quaLItY anD EffICiEnCY In PRoCesSEs.$",40061.61,1982/7/7,055 14 60873
JaSoN shAw*,BS,North Division,,"8350 daViS PIne APT. 440
SOuTH mICHael, KS 83661*",jASON_sHaw@KLb.coM,801.542.9503x3693,Operations,,"peRfORMS PROduCtiOn and OpEratiONaL taSkS witHiN ThE NORTH DIVisiOn, ensuRInG QUaliTy and eFFIcieNcy IN pRocEsseS.!",34581.57,1989/4/4,037/20/16828
jesSICA kAufMan,AB,East Division,"789 EAST BLvd, Albany, NY 12201^","93037 roBiNsoN KEY
WEst MATThew, mI 02599",jesSICA_KAuFman#KLb.cOM,,Operations,OpErAtIOns aSSocIate leveL 4*,"pErfoRms prOduCtiON AnD oPerationAl TaSks wiTHin THe EaST DIvISiOn, EnsuRing quALiTY ANd EFFICIENcy iN prOcESSEs.",38355.0,1973.6.5,310 91 38393
Leslie haRRiS$,,West Division,"101 weST DR, saCrAmEnTO, cA 94203","82885 STePhEn pLAZA APt. 670
llOYdchester, ct 87270",LeSlIE_HaRRiS@kLB..cOM,001-387-724-2616,Operations,oPeraTiOns ASsOcIaTe LEvel 4#,"PerFORMS PRoductiOn anD oPERaTiOnAL tASkS within tHE WESt divISIon, ENSuRINg quAlITY ANd EFFicIenCY iN procEsses.!",30806.64,1991.01.09,512 17 8918
JAneT WALters#,AB,Central Division,"202 MaIn ST, COLuMbUs, OH 43085","74302 WoNg wAYS SUiTE 265
new sARAhtoN, Nd 55117#",JANet_WAlTErs@Klb.cOM,+1-589-473-7542x13828,Operations,OPeRATIOns AsSociaTe LEvEl 3*,"peRforMS prODUctiOn And OperAtionAL tasKS wiTHiN thE ceNtRaL dIVISiOn, ensurInG QUAlItY aND EfficIeNcy iN PrOCeSsEs.*",33639.08,1975/01/07,509-32-22788
BRADley bRooKS,BS,West Division,"101 wEst dr, SAcRaMento, Ca 94203$","8629 WALters roUtE
POrT mElIssAToN, Nv 55438",bRadLEy_bROOKS@kLB..COM,(633)701-6119x94461,,OperATiONs assOciATE lEVel 1&,"pERFoRmS PrODucTion ANd oPERatioNAl tasks WitHIn thE WeST dIVISIoN, EnSurING QUality aND eFfIciENCY In ProCesseS.@",34076.73,4-4-1995,896/12/81323@
brANdI jAmes,CTE,,"101 wesT dr, SaCRAmeNTo, cA 94203","1495 HANNAH stReET
LakE cindyLaNd, nM 53324%",BranDI_james@KLb..COM,746.579.7274x40392,Operations,opeRaTIonS assOcIate leVEl 4!,"pERFORMS prOduCTIOn AND oPeraTIONal taSKS WiThIN thE WesT DiviSioN, ENSuRinG QUAlitY anD EFFICIeNCY iN pROCeSses.$",29743.6,30-9-1984,807-55-90727
LauReN pAdIlLA$,GED,North Division,,"usNv HAMmond
FPO aE 36817",lAUrEn_PADIlla#klb..coM,,Operations,oPERatIoNs aSsoCIAtE LevEL 8,"pERfOrmS proDUCtIoN AnD oPeRATIONaL tAsKS Within the NorTh diviSiON, EnSUriNG qUaliTY And EffICieNCy iN PrOceSsES.#",40159.14,10-1-1986,890 79 15181
JOnatHaN burke,AB,West Division,"101 wESt dr, SAcramEnto, cA 94203","usS cOpElANd
fPO AA 03614&",jOnAThaN_BUrKE@kLb.cOm,,Operations,OPErATionS asSOciaTE leveL 3^,"perfoRMs pRODUcTIon ANd oPeRAtIonaL TASKs WithIn tHe weSt divISiON, eNSuriNg QualIty ANd EFFIcIeNcY iN pROceSsES.^",28123.37,,897-23-89473
SCOtT zImmermAN!,BS,West Division,,,scOTT_zImmERMAn@KLB.cOM,(385)734-8875x8534,Operations,OPEratIOns asSociAte leveL 1$,"PerfoRms ProDUCtiON and opeRaTIONAl TaSKS wiThIN THE wEst divisioN, EnSURIng QUaLitY AnD EfFICiENCY iN prOcEsseS.$",31127.91,15-9-1980,308/71/12352$
BrOoKE adAMS,AB,Central Division,"202 main st, COluMbuS, oh 43085^","00397 YU KNOlLS apt. 920
ROnALDBORouGh, la 46678",brookE_Adams@KLB.coM,866.324.9255,,OperATIoNS AssOcIate LevEL 1$,"PErFORms PRoductIoN AnD OPeRAtiOnal tAsKs WIThIN tHe cEnTraL diVisiON, EnsUrINg QUAliTY and eFfiCIEnCY in pRoCEsSEs.!",32997.45,2001/03/19,434 58 3308
randalL PHiLLipS^,GED,East Division,"789 EaSt BlVd, AlbANy, Ny 12201@","53453 rEeD ESTate
natAlIeShIre, PA 85489",RAnDaLl_PhilliPs#klB..com,001-963-805-5610x379,Operations,OPeraTIoNs aSSoCIAtE Level 3*,"PERFoRMs PrODuCTIoN And opERAtIoNAl tAsKS withiN thE easT DIVIsIoN, ENsURINg quaLItY ANd EFFIcIeNCY IN PROcesSES.&",,1980-9-27,616/83/46986
jEFFREY TatE,AB,North Division,"123 noRtH sT, sPRIngfiELd, Il 62701","277 JOHnsOn raPIds
EaSt Linda, dc 93298",jeFFrey_TATe@KLb.coM,(474)594-2221x66095,Operations,,"pERFOrmS PROduCTIon ANd oPerAtioNAl tASks WiThiN ThE norTh divIsiOn, EnsURINg qUALITY And eFfIciEncY IN pROcessES.^",33904.36,,812 14 45008
cYNTHiA GRAy&,BS,West Division,"101 weST dr, sAcraMeNto, cA 94203","472 NatHAn sUmmiT apt. 114
eMIlyChesTer, Tx 27927%",Cynthia_GRAY#klb.cOm,709.887.1736,Operations,OPERaTIoNs ASsoCiATE LEVEl 9,"pERFoRms ProDUcTion aNd OpeRaTiOnal tASKS WiTHIN The weSt DivisIoN, EnSURIng QUAlITy And EFFIcIeNcy in PrOCesSes.",,1993.05.24,519-70-65572#
JacK Nelson!,,North Division,"123 nORTh ST, SpRINgfIElD, Il 62701","610 kIng viEws ApT. 874
sOUtH LOUISlanD, vI 80932",,491.246.0378,Operations,operatIoNs AssOciaTE LeVEl 2,"peRFoRMs PrOducTiON aNd oPeRATIoNal taSks WithIN ThE NoRTh DIVISion, enSUrInG qUaliTy aND eFFiciencY in PROCesSes.",31578.62,,322/53/8573%
DR. mARViN dONaldSon Dds!,,,"101 WeSt dR, sACRamENTo, CA 94203",,dR._mArViN_DoNalDsOn_DDs@kLB.Com,+1-655-475-9940,Administrative,sECReTArY lEvEl 3*,"ProviDEs AdMINISTRatIVe suppOrt wIThin THe WEST DIVISiON, AsSiSTING WITh SChEDulING, DoCuMEnTATIoN, aNd cOmmUniCation TaSKS.",39844.82,1963-12-11,855/54/98767
RONALD BaLlaRd,BS,East Division,"789 eaST blVD, albanY, ny 12201",,RONaLd_BallaRD@KLb.Com,001-244-808-3369x21526,Operations,oPerATIonS AssoCIATe LeVel 1,,,1989/03/18,316 86 16434
daLe BlaCK,HS,West Division,"101 West dr, sACRAmenTo, CA 94203#","2356 JesSICA WaLL apt. 512
willIAmSCHEstEr, NM 19667$",DAle_bLack@KlB.CoM,001-817-807-6373x176,,OPeRAtIoNS asSOCIate lEveL 4,"PErfoRMS proDUCTION AnD OPERatioNaL TaskS wItHin ThE WESt DIVisIOn, eNsUrINg QualiTY ANd eFfiCIenCy iN PrOCESsES.",34988.8,1991-12-6,
NIChoLe cHRISTENSEN,MS,West Division,"101 wesT Dr, sACraMEnTo, Ca 94203!","576 MORAlEs inlEt sUItE 281
BAnKSFUrt, Fl 01591%",,001-702-415-1003x5820,,eNgINEER LeveL 3&,"WORkS ON TeCHniCal ProJeCTs, ENsUrES COMPLiaNce with safETY StanDArDs, aNd PRovIdeS eNGIneeRINg SolUtioNs aS ENGiNeer lEvEL 3.",,1974-9-9,572 03 841
rAchEl HeRnAndEz DVm,GED,South Division,"456 SouTh Ave, AUstIN, TX 73301","826 MCCArtHy kEys
souTH eDWArd, kY 86900#",rachel_hernanDEZ_DVM@klB.com,001-286-339-8771x56510,Operations,opeRatIons AsSOciaTe lEvEL 7,"perfoRMs PrODUcTIoN AND opeRaTional taSKs witHIN THE south DiVIsIoN, eNSurInG QUalitY And effICIEnCy iN PROcEssEs.%",39679.42,7.7.2004,004-99-380
ERIK coWan#,AB,South Division,"456 SouTH AVe, ausTiN, TX 73301","02538 jESSe DaM
ChRISTophERTon, Ms 42744^",erIK_CoWAN#klb.cOm,001-281-528-2517,HR,,"mAnAgeS recRUITmENt ANd ONbOaRdIng, SUpports eMplOYeE RelaTiONs, AnD MaiNTAINS cOMpLiANCe WITH lAbOR Laws As spECiALIsT 1.",38885.69,1985-26-10,871/53/4433%
cHARleS friEDmAN,AB,Central Division,"202 Main ST, CoLuMbus, oH 43085","385 WArd cUrVE
grahAmmOUTh, ME 65244^",cHaRleS_fRiEDMAn@Klb..COm,(743)680-4875x2333,Operations,operATiONs asSOCiAtE lEvEL 4,"PerFORMs PRoDUcTioN and oPEratIoNaL tasKs WIThiN thE cEnTrAl DIViSiON, enSurIng quAliTy AnD efFICIEncy iN PrOCeSSes.^",33130.65,10/24/1977,098/14/34322
EthAn CAsEy#,,East Division,"789 EasT blvd, alBanY, Ny 12201","unIT 4426 boX 2154
dPo aE 73573",ethan_CASey@kLB..CoM,530-441-8871x17023,Operations,OPeRaTioNS AsSoCiATE LEVeL 3!,"PerFORmS ProDUCTioN aND operaTIonaL TaSks wIThiN the eAST DiViSIOn, eNSURInG qUalItY and EfFICIEnCy IN PrOcessEs.^",28683.37,1974-02-28,564 45 3531
KeVin MAlDoNadO,MA,West Division,"101 weSt dR, sACrAmENto, CA 94203","518 eRIC poRt
BOonEvIlLe, NY 18040",KeVIN_MAldONaDo@kLb.cOm,9704669010,Administrative,,"ProViDES AdmiNisTratIve SUpport WithIN thE WEst divIsIon, ASsIsTing WiTH SchEdULINg, DOcumEntATION, And COMmUNicAtiOn TAskS.&",38600.97,1978.10.31,493 19 9659
JAmeS wOODWard%,AB,South Division,"456 SoutH Ave, AustiN, tX 73301","189 Bobby cREst
SOUTh JimmybuRgh, wi 12913#",jAmEs_wOOdwaRD@KLB..cOM,395.914.1973x48607,Operations,OPErATioNs ASSOcIate LeveL 2#,,28085.7,10.2002.01,321 38 599
LaURie MILLS#,MBA,North Division,"123 nortH ST, springfieLD, iL 62701^","486 ERiC ThROugHway APT. 544
new kARA, oH 97760",lAuRIe_MIlLs#klb..COm,309-642-0924,,hr mANaGEr leVEL 2,"PrOVIDeS strAtEGIc wORkfORCE plANnINg, mANaGEs EmPloyee pErFOrmAncE, ANd OVERseES hr PolicIES As hR maNagEr LEveL 2.",103747.26,1968-31-10,287/23/440!
aUstiN welCh,BS,West Division,"101 weST dr, SacRAMeNtO, cA 94203","51583 AnNa rUe
gARCIamoUTh, La 23765@",aUStIN_wELCh@Klb..Com,9604667880,Operations,opeRATIOns aSSOCiAte LeVEL 4,"pErfoRMS pRODUCtIOn AnD OperAtiOnAL Tasks WitHin ThE WEsT dIvIsiON, Ensuring QualItY aND EFficiENCY iN prOCEsseS.",34520.71,1979/10/23,252/21/32220
ashLee BROoks,,East Division,"789 EaSt BlVd, ALbAnY, nY 12201#","13971 PRUITt ESTatE SuitE 644
bairDShIrE, pw 73202!",ashlEE_brOOks@KLb.Com,001-560-335-6897x058,HR,hR sPEcialIsT 1,"MAnaGES RecRuitMenT aND oNboArDing, suPpORtS eMpLOyee rElaTions, And mAinTaINs cOmPlianCe WitH LaBor LAwS As spECIALIst 1.*",,1987.11.6,742-26-03834
etHAn CRUz^,BS,Central Division,"202 mAin St, COLumBUs, OH 43085^","51244 DAVis HILL
WeSt SYLviAfuRt, co 16066",eThan_CrUz@KlB.coM,251.803.9998x001,Operations,opeRATioNS aSSOciaTe LeveL 1%,"PERFoRMs pRodUCTioN AnD operAtioNaL TaSks wIthIN tHE CEntraL dIvISioN, enSuRInG qUalIty And EfFiCIEncy In proceSSes.",33609.61,1996-7-20,450 06 39602
DAvId Vega%,,North Division,"123 North ST, SprINGfIeLd, il 62701@","762 HERnANdEz wayS
eAst chrIStoPhErvIlLe, CT 57733",DAVID_vegA@kLB..Com,395.842.8326x701,Operations,oPeraTioNs AsSociATE lEvEl 1^,"pErfORms pRoDuCTIOn and opeRAtionAL tasKs wItHIn The nORTH dIviSiOn, eNsUrINg QualiTy and eFfICIency iN proceSsES.^",,03/31/1999,518 15 18518
mIraNDA pEteRsEN,BA,East Division,"789 EaSt bLvd, AlBany, Ny 12201","431 stuArT mIllS
WiLSONHaVEn, Ut 15006*",MIRAndA_petErSeN@KLb.cOm,(496)898-3845x720,Administrative,SECRetAry LEvel 5%,"pRovIDes adminIsTrATiVe SUppOrt wiTHin tHe EasT dIViSIoN, AsSiStiNg WiTh sChEdUlING, doCUMeNtaTION, AnD CoMmunicaTion tASkS.%",40605.5,18-1989-7,
DAvid bISHOP^,AB,,"101 West Dr, sACraMeNTO, CA 94203!","746 hUnt passaGe suiTE 210
GwEnDOLynHAvEn, mn 48413@",daVid_bIshOP!klB.CoM,561-370-0850x9404,Operations,OpErAtIoNS ASsociatE leVeL 5&,"perfoRMs pRoDuction aNd OPERatIonal tASKs WitHin tHE WeSt DiviSION, eNSuRiNg quAlitY ANd efFIcieNCy iN ProCEsSes.",35364.27,1-11-1969,044/07/657
jOseph TOrRES@,GED,Central Division,"202 mAin St, cOlUMBus, OH 43085*","738 nAthANiel RaMp
cArdENASfort, vI 97735",,(204)269-2011,Operations,OPErATIonS ASSocIAte level 3&,"pERfoRMS ProDuCtiOn AND OpeRATiONal taSKs WiThIN tHE CentRAL diVISIon, eNSurInG quALIty AnD EFFiCiEnCY In PROcessES.#",,1976-3-29,717 62 01738
cHeYeNNE jUareZ!,CTE,North Division,"123 nORTh sT, SPriNGFIeLd, il 62701#","UscGc CHavEz
Fpo AE 95767@",CheYeNne_jUAReZ@Klb..coM,+1-611-856-7814x08282,Operations,OPerATIONS asSociaTe lEVel 2@,"perFOrmS ProDUCTion and oPeRaTIoNAL TAsKs WItHin tHE norTh DivisIon, ENSurIng qUaliTY AnD efFICiencY in prOCEsSEs.",33770.35,1989/11/24,624 83 1951
kIRsTen waRd,,West Division,"101 WEsT DR, SaCRaMENtO, ca 94203","2923 jASon ROad Apt. 360
EAsT jOShUa, IN 53183$",kiRSten_Ward@KLb..com,926.270.3308,Operations,opERaTiONs AsSOCIaTE LEVeL 9,"pERFoRMS PRODucTiON AnD OpeRaTiONAl tasks WiTHin THE wEST DiviSion, ENSURINg Quality And eFFiciENcY in PrOcESSEs.*",35877.44,1973.02.05,455 36 94215
jEsSE PerEz,CTE,West Division,"101 west Dr, SacramentO, cA 94203","7985 pAtriCIa broOkS Suite 745
KimberlyLanD, gu 10718*",JESse_Perez%KLB.CoM,314-623-3602x128,Operations,opEratIoNS ASSOCIaTE leVEL 2#,"pERFOrMs pROducTIOn and oPERatIONaL tasks WiThiN THe WeSt diVisioN, eNSurInG qualItY AnD EFficiency in PrOcESSES.",29200.96,1985/9/30,594-87-32251
aNDRe JoNES,BS,West Division,"101 WESt dR, SacRaMEnto, cA 94203$","67113 BLANchard burgs
NieLSeNBurgh, kY 79057#",ANDrE_JOnEs#KLB.cOm,(769)497-8213x5321,Operations,OpeRatIONs ASSOciaTE LeVeL 2,"PERfOrMS PrOdUCTION anD operATIoNAL TaSKs WIthIn THE wESt DiViSioN, eNsuRiNg QUaLITY And efFiCieNCY in ProCESSEs.",28714.59,4/1997/11,622 01 091
ChaRLES MeleNDez,BS,North Division,"123 noRTH St, sPRIngFiEld, Il 62701$","9890 nOAH Via ApT. 947
nORth lisa, FL 56296",charlEs_melenDEZ@kLB.cOM,865-588-9987x2444,Operations,opeRATioNs ASsOcIaTE lEveL 4,"perfoRmS prOduCTIOn aND opErAtioNAl taSKS wiThIN THE NoRTh dIvIsION, enSuRinG QUaLITY AND EfFicIENCy in pROCESSES.",33567.46,1974-06-27,146 94 86836
taMmy WagnEr,,East Division,"789 EAsT blvD, albanY, NY 12201&","63876 ShERRI MISsiOn apt. 706
DaVIDcheStEr, Ma 59108",tAMmY_wAgneR@kLB..COm,281.238.6129x991,Operations,,"PerfORMS PRodUcTiOn AND OpERAtiOnaL tasks wITHiN thE EasT dIViSiON, enSurIng quaLITY aNd efFiCIEnCY iN PRoCesSeS.",39754.0,03.1996.05,766 96 96999@
KeitH PeterS!,HS,Central Division,"202 mAiN St, colUMBus, Oh 43085%","5856 MartiNEZ ViLLaGeS
RoGERSbOrOUgh, ky 89945!",KEiTh_peTERS@Klb.COm,(647)832-8383x83358,Operations,opEraTioNS aSsoCiATe lEVel 1!,"PeRfORMs PrOduCTion AnD operATiOnal TaSKs WIthIN ThE centraL DIvISIoN, EnsuRinG quALity aND eFFicIeNcy In PRoCEssEs.&",,07-06-1985,588-10-96608&
nichOlAs BURNEtT,BS,,"789 EaST Blvd, alBany, nY 12201!","244 cHrISTiaN PoINT apT. 623
nEW DAnIElbury, mO 47321",NICHoLaS_BURNEtT@KLB.COM,+1-446-975-7395x409,Operations,OpeRAtIONs ASsOCIATe LeveL 2@,"PERforms proDUcTioN anD OpERatiOnAL tasks WItHiN tHE EAST dIViSIon, ENsuRiNg qUaLITY And EfficienCY In prOCEsSes.",35994.51,1972.11.28,790 44 1964#
tayloR MuRILlo,GED,East Division,"789 EaSt blVd, ALbany, nY 12201%","7241 MCdoNALD ridGe
RoberTVIlLE, DE 79793@",,971.434.4835x1834,Operations,OpERaTionS aSsocIaTE lEVEL 5#,"peRfoRms prOduCtIOn aNd OpErAtiOnAl TAskS witHin thE eaSt dIViSIOn, enSURiNG QuALItY aNd EFfICIeNCy iN prOcESsES.#",38778.97,1970-10-10,890 80 003
tiFFAny FRANCIs,HS,West Division,"101 WEsT dr, SaCRaMento, CA 94203","76258 brItTAnY GArDEns
CLaRkELANd, or 35088&",tIffAnY_FrancIS@kLb..COm,432-809-9734x9634,Operations,oPErAtioNs ASSOcIaTE LeVEL 7%,"PErfORMS ProdUctION ANd oPeraTIONaL TasKs wiThiN ThE wEst DiVIsiOn, ENsurInG QuALITy AnD EfFIcIEncy In prOcesseS.",,1991.9.1,
KEnnETh ADKINs,,West Division,"101 WEsT Dr, SacramEnTO, CA 94203#","53145 roberT streAm
GreGOrytOwn, as 04099&",KeNNetH_ADkiNS!kLB.cOM,383.727.1256x7256,Operations,oPerATioNs ASsOCiAtE leVEL 7#,"pErfoRMS PRoDuCTION anD OPERATiONAl tAsks wITHIn ThE wESt dIVIsiON, ENsurIng QuaLiTY and eFficiENCY In pROcESsEs.^",35337.25,1982.5.11,121-92-106
cAsEy hUdSoN!,MA,South Division,"456 SOUth AvE, aUSTin, tX 73301!","usns HOlLAnd
FPO aE 41154",CAseY_huDSON@kLB.Com,,Administrative,sECreTary LeveL 2,"pROViDES admINIstraTIve sUPpoRT WiThIN THE SouTh DIvISion, asSisting wiTh SCHeDuLInG, DoCumENtATION, and COmmuNICAtion tAskS.",41998.68,1991/4/16,103/93/86311&
gINA GOnzaLes%,BS,North Division,,"uniT 1240 bOX 6357
DPo AE 04069*",GINa_gOnzALES@KLB.cOm,810-294-4773x8239,HR,HR sPeCIaLIsT 1,,34077.82,27.11.1981,899 79 39223
soNYA martInez%,BS,North Division,"123 noRtH ST, SPrINGFIelD, Il 62701!","8460 apRil rAncH
COReYMoutH, rI 20005*",SONyA_martINEZ#kLB.cOm,846.665.2174,Operations,opERaTIoNs AsSoCiate LeVEL 1,"perFORMs prodUcTiON AnD oPerATiONAl TaskS WiThIN the noRTh DIVIsion, ensURING QUAliTy and effICIEnCY iN PRoceSSEs.@",,,193-98-38280
deNiSE FloRES,CTE,East Division,"789 East BlVd, alBany, ny 12201","02129 lAUREN SquAReS
katRinaVIlLE, mT 22994*",deNIsE_FLorEs@klB..COM,(757)771-2290x70028,Operations,OperatIonS ASSoCIATE LeVEl 1#,"PeRFORms PRoduction aND oPErATionaL tAsks wiThiN The EasT DiviSioN, eNsUring QuAlIty and eFfiCIEncy iN PROcEsseS.#",31794.67,,137-32-27585%
brIAN clAyTOn%,AB,South Division,"456 soUTh AvE, aUsTiN, TX 73301","467 JAkE BRIDgE suITe 418
GraCEmOUTh, ca 99385",BRIAN_cLAytoN@klb..CoM,738-635-1463,Operations,operaTioNs aSSoCIatE levEL 1&,"pErfORMs ProduCTiOn aNd operaTIonAL TasKS wIthIN THE sOUTh DIvisIOn, enSuring QualIty AnD EfficIency In prOcessES.",,2000.09.04,410-48-87807*
samUEl tanNEr%,BS,Central Division,"202 MAin sT, CoLuMbuS, oh 43085%","33372 WatSoN stATIon aPT. 322
MartinezVILle, Fl 80681",sAmUeL_TAnneR%Klb..CoM,901-910-6964,,oPERAtioNS ASsOciATe lEVEL 1,"PeRfoRMs prODuctION And OperAtiOnAL tAsKS wItHIn THE cenTRaL diviSIoN, ENSURING qUALITY anD eFfICIency in pROcEsseS.@",33743.84,1987-5-20,353/65/29119
RIcHard aGUiLaR%,AB,North Division,"123 NorTh St, sprINgfielD, iL 62701","24126 pOWEll faLl APt. 685
gUtIeRReZToN, MP 99125$",RIcharD_AGUiLAR#KLB.Com,+1-202-388-5411x112,Operations,OPEratIOns aSsOciATE level 8%,"PeRFOrms pRODUcTIon AND OperaTionAL TasKS withIN THE nORtH DiVIsiOn, enSUring QUaLity anD effIciEncy iN pRocESsEs.",37830.8,1993.04.24,035-20-615
KeItH bRuce,CTE,West Division,"101 wEsT Dr, sACRAMENTo, cA 94203","90367 TUrnEr MANOr Suite 246
pORT Kevin, mp 38254^",,(434)964-7347x40172,Operations,,"peRfORMS prodUctIon And OPerAtiONAL tasKs WIThin THE WEST DivIsION, EnsurinG qUALIty anD EfFIcieNCY iN ProCeSSEs.",31847.59,1986.9.12,274 18 51019
EDwARd GrAVES!,AB,East Division,"789 eaST BlVD, AlbANy, NY 12201@","461 jAnEt TrAil Apt. 664
ShanNONfort, wY 82223!",edwARd_gRAVEs%KLB.com,+1-655-435-0332x76633,HR,,"mAnagES RECRUiTMenT and oNBOARDInG, SUppORts empLoyEe relaTiOns, anD maINTaIns CompliANCE wiTH labOR LaWs As sPEcIAlIST 2.%",33116.72,1997-06-15,200-01-40369&
joHN PEttY$,AB,West Division,"101 WESt DR, SacrAmEnTO, cA 94203","0586 hAnSON PORt SuiTe 383
PORt chrisTiNEMouTH, Fl 26889^",JOHN_PETTY#KlB..cOM,(310)880-9261x6620,Administrative,secreTary leveL 2,"pROVides aDminIsTRAtIvE suPPorT witHIn tHE West dIviSIon, AssIsTInG witH sCheduLIng, docUmEnTAtioN, and coMMunIcAtion Tasks.^",39002.62,11/08/1985,365-41-73673
cHRISTopheR robertSoN JR.&,AB,Central Division,"202 mAIN ST, COlUMbUS, oh 43085","8468 davIs port
MooNHaVEN, md 21830#",chRISTopHER_roBeRTson_jr.@Klb.cOM,997.553.0049x24951,Operations,oPERatIoNS aSSocIate levEL 8,"pErfORms pROduCtIOn aND OPeRAtiONaL tASKs WitHIn THe cEntRAl DIVIsiOn, EnsuriNG QuAlITy aND efFICIEnCy in ProcEsseS.",42362.02,08.1982.12,086-49-90708
jUStIn hughes!,CTE,Central Division,"202 MAiN St, ColuMbuS, Oh 43085","892 HOoD Way aPT. 813
poRt jULie, ky 04121",JUSTin_HughES%klb..COm,545-388-4980x26235,Operations,OPeratIONS ASsOciAtE LEVeL 1^,"peRfoRms pRODuCTioN anD OPeRaTIonAl tAskS wIThIn tHE cENtraL DiViSION, ensUrIng quAliTy aND EfficiEncY iN PrOcEsSes.^",30754.99,1989-22-04,827-26-165
Sarah McdONaLd@,HS,West Division,"101 wesT dR, SAcRAMeNTo, cA 94203","PsC 8574, boX 9910
ApO aP 59328",sarAh_McDonaLd@klB.cOM,384-461-0994,Operations,OpERationS asSOCIATe levEL 4,"pErfOrms pROductiOn And oPerATioNal tAsKS wIThIN the WESt divIsion, EnSURIng quAliTy AND EffIcIEnCY in pRocEssEs.",32937.97,10.3.1984,294/20/21662
cYNthIa HoOver%,AB,Central Division,"202 mAIN ST, CoLumBUS, OH 43085","pSc 1184, bOx 0654
ApO aP 70202",CynThiA_hOOVeR@kLb.cOM,358-675-5245x29615,Administrative,sECReTARy LevEl 7*,"PrOviDes ADMINIstRaTiVE SupPORT WITHin tHE CentRaL dIVIsIon, ASsistinG WiTh SCheDUliNG, dOCumeNTAtioN, And coMMUNiCAtioN tAsKs.@",44524.91,,422/78/74962^
bRyaN CurtIs,HS,Central Division,"202 MAIn ST, COLUmBus, oh 43085","70585 DAWsOn prAIrie aPt. 196
soUTH coNNor, Ny 25585",,863-317-9068,,,"PERfORMS pRoduCtION ANd OpERAtionAL taSKS WitHiN thE CeNtRal dIVISIon, ENSURINg QuaLItY anD EfFicIenCy in prOCeSseS.",34695.41,1974-2-20,
